texto,ansiedade,tristeza_desanimo,estresse_sobrecarga,medo_inseguranca,bem_estar,sintoma_fisico
"Choro fácil hoje, qualquer coisa mexeu comigo",0,1,0,0,0,0
Um pouco de melancolia sem razão aparente essa tarde,0,1,0,0,0,0
"Senti o bebê soluçando pela primeira vez, estranho mas engraçado",0,0,0,0,1,1
"Dor de cabeça leve o dia inteiro, nada muito forte",0,0,0,0,0,1
Senti mais sede que o normal e fiquei tomando água o dia todo,0,0,0,0,0,1
"Notei os pés maiores hoje, quase não entrei no sapato de sempre",0,0,0,0,0,1
"Tive uma cólica leve à noite, passou rápido mas fiquei de olho",1,0,0,0,0,1
Senti uma queimação no estômago depois do jantar,0,0,0,0,0,1
"Dificuldade pra respirar fundo hoje, a barriga já ocupa muito espaço",0,0,0,0,0,1
"Ardência ao urinar de novo hoje, vou mencionar na próxima consulta",0,0,0,0,0,1
Senti um desconforto forte na parte baixa da barriga essa tarde,1,0,0,0,0,1
"Passei o dia lendo um livro, nada de especial pra contar",0,0,0,0,0,0
Cuidei do jardim de manhã e descansei à tarde,0,0,0,0,0,0
"Recebi uma encomenda hoje, resto do dia foi tranquilo e normal",0,0,0,0,0,0
"Ajudei meu parceiro numa tarefa de casa, dia comum",0,0,0,0,0,0
"Assisti um documentário à noite, nada fora do comum",0,0,0,0,0,0
"Trabalhei o dia inteiro em home office, rotina de sempre",0,0,0,0,0,0
Feliz com os preparativos mas cansada de tanta coisa pra resolver,0,0,1,0,1,0
Grata pelo apoio da família mas ainda insegura sobre o parto,0,0,0,1,1,0
Enjoada o dia todo e isso me deixou sem paciência pra nada,0,0,1,0,0,1
Ansiosa com a mala da maternidade e com medo de esquecer algo importante,1,0,0,1,0,0
"Triste por não poder fazer tudo que fazia antes, mas tentando aceitar",0,1,0,0,1,0
"Cansada, ansiosa e com uma dor de cabeça persistente hoje",1,0,1,0,0,1
E se alguma coisa não sair do jeito que eu planejei pro parto?,0,0,0,1,0,0
Não sei se vou saber o que fazer na primeira vez que ele chorar,0,0,0,1,0,0
Fico paralisada só de imaginar a sala de parto,0,0,0,1,0,0
"Prefiro nem pensar no que pode dar errado, prefiro focar no que der",0,0,0,1,0,0
Será que vou dar conta de tudo isso sozinha mesmo?,0,0,0,1,0,0
"Toda vez que penso no que vem depois, um frio passa por mim",0,0,0,1,0,0
Não tenho certeza nenhuma se estou preparada pra essa mudança toda,0,0,0,1,0,0
Fico imaginando cenários que nem deveria e isso me consome por dentro,0,0,0,1,0,0
Queria ter mais certeza de que vai ficar tudo bem no final,0,0,0,1,0,0
Uma parte de mim duvida se sou capaz de cuidar dele direito,0,0,0,1,0,0
Não consigo deixar de pensar em tudo que pode fugir do controle,0,0,0,1,0,0
Sinto um aperto quando penso em ficar sozinha na hora H,0,0,0,1,0,0
Às vezes me pego duvidando se fiz as escolhas certas até aqui,0,0,0,1,0,0
Tem uma vozinha na minha cabeça que fica questionando se vou conseguir,0,0,0,1,0,0
Evito pensar em certas possibilidades porque não sei como reagiria,0,0,0,1,0,0
Fico tensa só de cogitar que algo pudesse fugir do plano,0,0,0,1,0,0
Não me sinto totalmente segura sobre como vai ser tudo daqui pra frente,0,0,0,1,0,0
Uma dúvida constante me acompanha sobre se estou fazendo o suficiente,0,0,0,1,0,0
Consegui aproveitar cada minuto do passeio de hoje sem pensar em mais nada,0,0,0,0,1,0
Meu corpo relaxou de um jeito que não acontecia há semanas,0,0,0,0,1,0
Terminei o dia com aquela sensação boa de dever cumprido,0,0,0,0,1,0
"Rimos muito hoje com uma história boba, foi gostoso demais",0,0,0,0,1,0
"Nada me incomodou o dia inteiro, o que já é raro ultimamente",0,0,0,0,1,0
"Acordei com uma disposição diferente hoje, o corpo pediu pra ir",0,0,0,0,1,0
Aproveitei o silêncio da manhã só pra sentir o momento,0,0,0,0,1,0
O jantar em família hoje deixou um gostinho bom no coração,0,0,0,0,1,0
"Passei a tarde sem pressa nenhuma, foi exatamente o que eu precisava",0,0,0,0,1,0
Me peguei sorrindo sozinha pensando no bebê hoje,0,0,0,0,1,0
"O dia fluiu redondinho, sem nenhum perrengue no caminho",0,0,0,0,1,0
Consegui apreciar um momento pequeno hoje e isso encheu meu dia,0,0,0,0,1,0
Foi um daqueles dias em que tudo parece encaixar direitinho,0,0,0,0,1,0
Senti o peito mais aliviado depois da conversa que tive hoje,0,0,0,0,1,0
Deu vontade de guardar esse momento de hoje na memória,0,0,0,0,1,0
"A energia de hoje foi outra, tudo pareceu mais fácil",0,0,0,0,1,0
Curti demais o carinho que recebi da família no almoço de hoje,0,0,0,0,1,0
Senti uma satisfação simples só de ver o quarto do bebê quase pronto,0,0,0,0,1,0
Minha lista de tarefas só cresce e eu sinto que encolho a cada dia,0,0,1,0,0,0
Sinto os ombros duros de tanta coisa acumulada essa semana,0,0,1,0,0,0
O dia acabou e ainda ficou metade das coisas por fazer,0,0,1,0,0,0
"Não consigo focar em uma coisa só, tudo puxa minha atenção ao mesmo tempo",0,0,1,0,0,0
"Respondi mais ríspida do que deveria hoje, acho que passei do limite",0,0,1,0,0,0
Sinto que estou sempre correndo atrás do tempo e nunca alcanço,0,0,1,0,0,0
A cabeça não para de rodar pensando em tudo que falta resolver,0,0,1,0,0,0
"Mal sentei hoje, foi uma correria do início ao fim do dia",0,0,1,0,0,0
Sinto o corpo pesado de tanta coisa pra dar conta hoje,0,0,1,0,0,0
Cada coisa nova que aparece hoje parece um peso a mais nas costas,0,0,1,0,0,0
"Perdi a paciência fácil hoje, a rotina tá apertando de todo lado",0,0,1,0,0,0
"Sinto que preciso de um respiro, mas a agenda não dá brecha",0,0,1,0,0,0
"Vivendo no piloto automático essa semana, sem tempo de parar",0,0,1,0,0,0
A pressão de dar conta de tudo sozinha tá pesando bastante,0,0,1,0,0,0
Sinto que estou sempre um passo atrás de tudo que preciso fazer,0,0,1,0,0,0
"O corpo já dá sinais de que preciso desacelerar, mas não consigo",0,0,1,0,0,0
Consegui aproveitar o dia mesmo com a lista de tarefas ainda cheia,0,0,1,0,1,0
"Uma parte de mim duvida se dou conta de tudo, mas tento seguir em frente confiante",0,0,0,1,1,0
"Entre uma coisa e outra na correria de hoje, ainda bateu aquele frio pensando no parto",0,0,1,1,0,0
